date,open,high,low,close,volume
2021-04-01,8694,8695,8110,8127,102687200
2021-03-01,7911,8712,7786,8616,162751500
2021-02-01,7278,8497,7216,7873,129067100
2021-01-04,8030,8030,7298,7300,117627500
2020-12-01,7111,8045,6980,7957,122894800
2020-11-02,6866,7524,6850,6999,125947000
2020-10-02,6920,7078,6780,6803,78412500
2020-09-01,6990,7179,6838,6932,92492400
2020-08-03,6309,7380,6255,7006,100367200
2020-07-01,6760,6870,6217,6217,98680700
2020-06-01,6785,7174,6685,6762,119780700
2020-05-01,6603,6980,6208,6755,124537900
2020-04-01,6430,6875,6163,6666,136188300
2020-03-02,6941,7348,5771,6501,243107400
2020-02-03,7557,8026,7004,7127,104433800
2020-01-06,7599,7894,7530,7652,85686500
2019-12-02,7701,7854,7626,7714,77517800
2019-11-01,7460,7949,7458,7638,89936300
2019-10-01,7245,7554,6951,7542,90439700
2019-09-02,6967,7494,6933,7216,109068800
2019-08-01,7018,7120,6620,6960,105951200
2019-07-01,6765,7244,6727,7024,104177300
2019-06-03,6309,6858,6274,6688,94034700
2019-05-07,6855,6900,6383,6384,98152400
2019-04-01,6571,7080,6557,6905,81289300
2019-03-01,6735,6761,6487,6487,99039100
2019-02-01,6642,6808,6430,6697,95003800
2019-01-04,6180,6905,6161,6675,117628400
2018-12-03,7000,7097,6045,6406,132213200
2018-11-01,6628,7034,6428,6803,156561600
2018-10-01,7054,7257,6396,6615,179930500
2018-09-03,6851,7134,6552,7095,121434100
2018-08-01,7422,7428,6696,6930,121126300
2018-07-02,7150,7526,7023,7305,125161200
2018-06-01,6950,7615,6941,7170,161710300
2018-05-01,7181,7686,6825,6921,163055300
2018-04-02,6833,7243,6687,7181,85459800
2018-03-01,7197,7198,6531,6825,123885800
2018-02-01,7520,7704,7080,7235,136987100
2018-01-04,7300,7806,7293,7480,132328200
2017-12-01,7081,7300,6835,7213,107674500
2017-11-01,7020,7312,6902,7044,128817900
2017-10-02,6716,7086,6670,6990,134814700
2017-09-01,6215,6832,6137,6710,129195500
2017-08-01,6239,6360,6067,6183,137065200
2017-07-03,5893,6282,5887,6234,166267900
2017-06-01,5935,6097,5768,5893,142227100
2017-05-01,6024,6242,5923,5932,125044500
2017-04-03,6087,6154,5670,6035,138571400
2017-03-01,6420,6550,6042,6042,139257500
2017-02-01,6490,6558,6220,6365,136792300
2017-01-04,7010,7103,6575,6584,147289900
2016-12-01,6789,7215,6592,6878,192916400
2016-11-01,6082,6789,5492,6649,234481300
2016-10-03,5830,6080,5791,6079,120839200
2016-09-01,6262,6372,5703,5779,164227400
2016-08-01,5715,6353,5520,6238,226878700
2016-07-01,5100,5920,4965,5894,237113000
2016-06-01,5701,5844,4917,5052,279391000
2016-05-02,5404,5839,5375,5783,186162900
2016-04-01,5930,6027,5256,5654,249448300
2016-03-01,5853,6244,5824,5952,228662800
2016-02-01,7300,7355,5703,5897,286595100
2016-01-04,7400,7495,6392,7200,229359900
2015-12-01,7691,7862,7324,7488,191612100
2015-11-02,7380,7717,7331,7657,143789100
2015-10-01,7020,7668,6961,7469,221454500
2015-09-01,7124,7491,6669,6971,240998400
2015-08-03,8239,8239,6650,7192,217821000
2015-07-01,8178,8444,7630,8253,150227900
2015-06-01,8573,8593,8095,8203,149175200
2015-05-01,8298,8700,8150,8604,136256500
2015-04-01,8268,8535,8175,8358,149367700
2015-03-02,8115,8783,8029,8383,195478200
2015-02-02,7551,8229,7495,8063,170410400
2015-01-05,7565,7834,7255,7645,190708800
2014-12-01,7360,7873,7107,7558,244583800
2014-11-04,6830,7314,6696,7314,232048700
2014-10-01,6450,6559,5710,6498,233353400
2014-09-01,5963,6550,5938,6463,187236200
2014-08-01,6085,6117,5850,5928,128051700
2014-07-01,6100,6221,5926,6137,142242100
2014-06-02,5779,6090,5771,6084,157910300
2014-05-01,5577,5761,5376,5761,132656800
2014-04-01,5839,5906,5205,5516,170804800
2014-03-03,5793,5955,5415,5826,163143900
2014-02-03,5880,6045,5500,5839,172375100
2014-01-06,6360,6400,5886,5922,195411200
2013-12-02,6390,6430,6040,6420,203877700
2013-11-01,6390,6430,6180,6380,184733100
2013-10-01,6310,6430,6010,6360,180960300
2013-09-02,5980,6520,5970,6270,144656700
2013-08-01,6030,6500,5940,5940,218342500
2013-07-01,6070,6540,5890,5970,211877100
2013-06-03,5910,6050,5360,5990,332664100
2013-05-01,5640,6760,5460,6010,387184500
2013-04-01,4895,5790,4610,5640,292653500
2013-03-01,4715,5050,4700,4860,210133500
2013-02-01,4420,5050,4415,4765,284133300
2013-01-04,4200,4390,4030,4365,207292300
2012-12-03,3540,4015,3460,4005,167951100
2012-11-01,3080,3660,3050,3535,166439300
2012-10-01,3010,3190,2873,3065,137143500
2012-09-03,3090,3280,3020,3040,118117600
2012-08-01,2980,3300,2980,3095,132865700
2012-07-02,3230,3260,2795,3020,115288800
2012-06-01,2982,3220,2885,3190,157711400
2012-05-01,3280,3280,2990,3040,154017200
2012-04-02,3605,3640,3225,3305,149885900
2012-03-01,3380,3635,3220,3570,190051900
2012-02-01,2795,3460,2784,3355,203907500
2012-01-04,2611,2906,2553,2810,136327200
